Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Year
Denmark,Western Europe,1.0,7.526,7.46,7.5920000000000005,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,2016
Switzerland,Western Europe,2.0,7.5089999999999995,7.428,7.59,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,2016
Iceland,Western Europe,3.0,7.501,7.332999999999999,7.669,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,2016
Norway,Western Europe,4.0,7.497999999999999,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,2016
Finland,Western Europe,5.0,7.412999999999999,7.351,7.475,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,2016
Canada,North America,6.0,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44833999999999996,2.70485,2016
Netherlands,Western Europe,7.0,7.3389999999999995,7.284,7.394,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,2016
New Zealand,Australia and New Zealand,8.0,7.334,7.263999999999999,7.404,1.36066,1.17278,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,2.47553,2016
Australia,Australia and New Zealand,9.0,7.313,7.2410000000000005,7.385,1.4444299999999999,1.10476,0.8512,0.5683699999999999,0.32331,0.47407,2.5465,2016
Sweden,Western Europe,10.0,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,2016
Israel,Middle East and Northern Africa,11.0,7.267,7.199,7.335,1.33766,0.9953700000000001,0.8491700000000001,0.36432,0.08728,0.32288,3.31029,2016
Austria,Western Europe,12.0,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,2016
United States,North America,13.0,7.104,7.02,7.188,1.50796,1.04782,0.779,0.48163,0.14868,0.41076999999999997,2.72782,2016
Costa Rica,Latin America and Caribbean,14.0,7.087000000000001,6.999,7.175,1.06879,1.02152,0.76146,0.55225,0.10547000000000001,0.22553,3.3516800000000004,2016
Puerto Rico,Latin America and Caribbean,15.0,7.039,6.794,7.284,1.35943,1.08113,0.77758,0.46823000000000004,0.12275,0.22202,3.0076,2016
Germany,Western Europe,16.0,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,2016
Brazil,Latin America and Caribbean,17.0,6.952000000000001,6.875,7.029,1.08754,1.03938,0.61415,0.40425,0.14165999999999998,0.15775999999999998,3.5073300000000005,2016
Belgium,Western Europe,18.0,6.928999999999999,6.861000000000001,6.997000000000001,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,2016
Ireland,Western Europe,19.0,6.907,6.836,6.978,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,2016
Luxembourg,Western Europe,20.0,6.871,6.803999999999999,6.938,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,2016
Mexico,Latin America and Caribbean,21.0,6.778,6.68,6.876,1.1150799999999998,0.7146,0.71143,0.37709000000000004,0.18355,0.11735,3.5590599999999997,2016
Singapore,Southeastern Asia,22.0,6.739,6.6739999999999995,6.803999999999999,1.64555,0.8675799999999999,0.94719,0.4877,0.46986999999999995,0.32706,1.99375,2016
United Kingdom,Western Europe,23.0,6.725,6.647,6.803,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,2016
Chile,Latin America and Caribbean,24.0,6.705,6.615,6.795,1.2167,0.9058700000000001,0.8188300000000001,0.37789,0.11450999999999999,0.31595,2.95505,2016
Panama,Latin America and Caribbean,25.0,6.7010000000000005,6.601,6.801,1.18306,0.9891200000000001,0.70835,0.48927,0.08423,0.2418,3.00559,2016
Argentina,Latin America and Caribbean,26.0,6.65,6.56,6.74,1.15137,1.0661200000000002,0.69711,0.42283999999999994,0.07296,0.10989000000000002,3.12985,2016
Czech Republic,Central and Eastern Europe,27.0,6.596,6.515,6.6770000000000005,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,2016
United Arab Emirates,Middle East and Northern Africa,28.0,6.5729999999999995,6.494,6.652,1.57352,0.8711399999999999,0.72993,0.56215,0.35561,0.26591,2.21507,2016
Uruguay,Latin America and Caribbean,29.0,6.545,6.456,6.6339999999999995,1.18157,1.0314299999999998,0.72183,0.54388,0.21394000000000002,0.18056,2.67139,2016
Malta,Western Europe,30.0,6.4879999999999995,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,2016
Colombia,Latin America and Caribbean,31.0,6.481,6.3839999999999995,6.577999999999999,1.0303200000000001,1.02169,0.59659,0.44735,0.053989999999999996,0.15625999999999998,3.1747099999999997,2016
France,Western Europe,32.0,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,2016
Thailand,Southeastern Asia,33.0,6.474,6.396,6.5520000000000005,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,2016
Taiwan,Eastern Asia,34.0,6.379,6.305,6.452999999999999,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,2.61523,2016
Saudi Arabia,Middle East and Northern Africa,34.0,6.379,6.287000000000001,6.471,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,2.61482,2016
Qatar,Middle East and Northern Africa,36.0,6.375,6.178,6.572,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,1.5822399999999999,2016
Spain,Western Europe,37.0,6.361000000000001,6.287999999999999,6.434,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663,2016
Algeria,Middle East and Northern Africa,38.0,6.355,6.227,6.483,1.05266,0.83309,0.6180399999999999,0.21006,0.16157,0.07044,3.40904,2016
Guatemala,Latin America and Caribbean,39.0,6.324,6.212999999999999,6.435,0.83454,0.8711899999999999,0.5403899999999999,0.50379,0.08701,0.28808,3.19863,2016
Suriname,Latin America and Caribbean,40.0,6.269,6.0729999999999995,6.465,1.09686,0.77866,0.5093300000000001,0.5223399999999999,0.12692,0.16665,3.06852,2016
Kuwait,Middle East and Northern Africa,41.0,6.239,6.154,6.324,1.61714,0.8775799999999999,0.63569,0.43166000000000004,0.23669,0.15965,2.28085,2016
Bahrain,Middle East and Northern Africa,42.0,6.218,6.127999999999999,6.308,1.44024,0.9439700000000001,0.65696,0.47375,0.25772,0.17147,2.27405,2016
Trinidad and Tobago,Latin America and Caribbean,43.0,6.167999999999999,5.95,6.386,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,2.5139400000000003,2016
Venezuela,Latin America and Caribbean,44.0,6.084,5.973,6.195,1.1336700000000002,1.03302,0.6190399999999999,0.19847,0.08304,0.0425,2.9746799999999998,2016
Slovakia,Central and Eastern Europe,45.0,6.077999999999999,5.996,6.16,1.27973,1.0826799999999999,0.70367,0.23390999999999998,0.02947,0.13837,2.61065,2016
El Salvador,Latin America and Caribbean,46.0,6.068,5.9670000000000005,6.169,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,3.22134,2016
Malaysia,Southeastern Asia,47.0,6.005,5.921,6.0889999999999995,1.25142,0.88025,0.62366,0.39031,0.09081,0.41473999999999994,2.35384,2016
Nicaragua,Latin America and Caribbean,48.0,5.992000000000001,5.877000000000001,6.107,0.69384,0.8952100000000001,0.65213,0.46581999999999996,0.16292,0.29773,2.82428,2016
Uzbekistan,Central and Eastern Europe,49.0,5.987,5.896,6.077999999999999,0.7359100000000001,1.1681,0.50163,0.60848,0.28333,0.34326,2.34638,2016
Italy,Western Europe,50.0,5.977,5.898,6.056,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,2016
Ecuador,Latin America and Caribbean,51.0,5.976,5.88,6.072,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,2.77366,2016
Belize,Latin America and Caribbean,52.0,5.956,5.71,6.202000000000001,0.87616,0.68655,0.45569,0.51231,0.10770999999999999,0.23684000000000002,3.08039,2016
Japan,Eastern Asia,53.0,5.921,5.85,5.992000000000001,1.3800700000000001,1.06054,0.91491,0.46761,0.18985,0.10224,1.8058400000000001,2016
Kazakhstan,Central and Eastern Europe,54.0,5.919,5.837000000000001,6.001,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,2.49325,2016
